iter	Passed	Remaining
0	98	98767
1	138	69004
2	180	59915
3	217	54273
4	259	51553
5	295	48930
6	338	47966
7	374	46434
8	410	45211
9	448	44389
10	486	43700
11	522	43020
12	570	43281
13	608	42856
14	654	43001
15	695	42791
16	733	42404
17	770	42026
18	812	41958
19	850	41660
20	887	41356
21	925	41141
22	962	40897
23	1001	40711
24	1045	40758
25	1083	40598
26	1120	40364
27	1158	40203
28	1196	40047
29	1233	39881
30	1277	39923
31	1315	39798
32	1352	39631
33	1389	39491
34	1427	39367
35	1464	39223
36	1507	39246
37	1548	39213
38	1587	39112
39	1624	38981
40	1662	38887
41	1699	38775
42	1742	38777
43	1780	38678
44	1818	38595
45	1856	38495
46	1893	38384
47	1930	38290
48	1973	38296
49	2010	38206
50	2049	38131
51	2087	38059
52	2125	37972
53	2162	37886
54	2205	37890
55	2243	37812
56	2281	37743
57	2319	37676
58	2357	37604
59	2396	37537
60	2439	37546
61	2476	37470
62	2515	37419
63	2561	37455
64	2600	37412
65	2642	37393
66	2694	37516
67	2736	37502
68	2779	37506
69	2821	37480
70	2864	37480
71	2907	37474
72	2955	37534
73	2998	37527
74	3039	37486
75	3080	37455
76	3125	37467
77	3167	37438
78	3212	37454
79	3254	37421
80	3297	37417
81	3340	37402
82	3383	37386
83	3424	37342
84	3473	37389
85	3515	37363
86	3563	37394
87	3601	37323
88	3641	37273
89	3679	37205
90	3720	37168
91	3758	37099
92	3795	37016
93	3832	36934
94	3869	36862
95	3907	36792
96	3950	36775
97	3988	36708
98	4025	36635
99	4065	36585
100	4105	36540
101	4152	36558
102	4204	36617
103	4244	36564
104	4282	36501
105	4319	36430
106	4357	36364
107	4394	36291
108	4442	36316
109	4487	36311
110	4528	36272
111	4572	36251
112	4625	36307
113	4670	36300
114	4725	36366
115	4763	36303
116	4805	36265
117	4844	36212
118	4888	36188
119	4929	36146
120	4974	36135
121	5012	36070
122	5049	36005
123	5088	35949
124	5125	35878
125	5162	35810
126	5205	35782
127	5242	35716
128	5283	35677
129	5324	35636
130	5364	35584
131	5404	35539
132	5447	35512
133	5486	35455
134	5525	35402
135	5569	35382
136	5609	35333
137	5649	35288
138	5692	35258
139	5731	35208
140	5770	35154
141	5809	35099
142	5847	35041
143	5885	34988
144	5929	34962
145	5968	34908
146	6005	34850
147	6042	34786
148	6081	34734
149	6121	34689
150	6166	34673
151	6207	34632
152	6246	34578
153	6284	34521
154	6321	34464
155	6358	34400
156	6400	34369
157	6438	34312
158	6475	34252
159	6514	34199
160	6556	34166
